Group,Session,SID,PracDir,Difficulty,Trial,Staircase,MainDir,TargLoc,Resp,Correct,Type1RT,Conf,Type2RT
1,1,1,68,0.09,1,1,68,2,1,0,0.7135,2,1.6763
1,1,1,68,0.11,2,1,68,1,1,1,0.6973,2,0.8953
1,1,1,68,0.28,3,2,68,1,1,1,0.483,1,0.3847
1,1,1,68,0.09,4,1,68,2,2,1,1.3146,3,0.8322
1,1,1,68,0.26,5,2,68,2,2,1,0.7254,4,0.3091
1,1,1,68,0.24,6,2,68,1,1,1,0.3737,4,0.2573
1,1,1,68,0.22,7,2,68,2,2,1,0.8616,4,0.2158
1,1,1,68,0.2,8,2,68,2,2,1,0.923,2,0.2804
1,1,1,68,0.09,9,1,68,1,2,0,1.2064,1,0.7216
1,1,1,68,0.11,10,1,68,2,2,1,1.7559,2,1.0815
1,1,1,68,0.11,11,1,68,1,0,0,0,1,0.8721
1,1,1,68,0.13,12,1,68,2,2,1,1.8989,2,0.3788
1,1,1,68,0.13,13,1,68,2,1,0,1.4726,3,0.6089
1,1,1,68,0.15,14,1,68,1,1,1,0.8935,3,0.4773
1,1,1,68,0.15,15,1,68,2,1,0,1.1609,2,1.1146
1,1,1,68,0.17,16,1,68,2,1,0,0.9277,2,1.3061
1,1,1,68,0.19,17,1,68,2,2,1,1.0552,2,0.4151
1,1,1,68,0.19,18,1,68,2,0,0,0,1,0.9878
1,1,1,68,0.18,19,2,68,1,1,1,0.5913,2,0.2529
1,1,1,68,0.21,20,1,68,1,1,1,0.455,3,0.1966
1,1,1,68,0.21,21,1,68,2,1,0,1.8071,2,0.2932
1,1,1,68,0.23,22,1,68,2,1,0,1.6444,2,0.8674
1,1,1,68,0.16,23,2,68,1,2,0,0.93,1,0.9697
1,1,1,68,0.18,24,2,68,2,1,0,1.3344,1,0.1314
1,1,1,68,0.2,25,2,68,2,2,1,1.4043,2,0.358
1,1,1,68,0.2,26,2,68,2,0,0,0,3,1.3748
1,1,1,68,0.22,27,2,68,1,1,1,1.3865,1,0.2939
1,1,1,68,0.25,28,1,68,1,2,0,0.8238,2,0.4398
1,1,1,68,0.27,29,1,68,1,0,0,0,1,1.1726
1,1,1,68,0.29,30,1,68,1,0,0,0,3,1.0677
1,1,1,68,0.31,31,1,68,2,2,1,0.7927,2,0.6656
1,1,1,68,0.31,32,1,68,2,2,1,0.9925,2,0.8157
1,1,1,68,0.29,33,1,68,2,2,1,1.7297,3,0.3342
1,1,1,68,0.22,34,2,68,1,1,1,1.0653,3,1.0318
1,1,1,68,0.2,35,2,68,1,1,1,1.9024,2,0.6864
1,1,1,68,0.2,36,2,68,1,1,1,1.1195,2,0.6047
1,1,1,68,0.29,37,1,68,1,1,1,0.3173,4,0.7394
1,1,1,68,0.27,38,1,68,1,1,1,0.4615,4,0.1855
1,1,1,68,0.27,39,1,68,1,1,1,0.373,4,0.21
1,1,1,68,0.18,40,2,68,2,2,1,1.2788,2,0.6284
1,1,1,68,0.18,41,2,68,1,1,1,0.888,4,0.763
1,1,1,68,0.16,42,2,68,2,2,1,1.2806,4,0.1895
1,1,1,68,0.16,43,2,68,2,1,0,1.0481,2,0.2245
1,1,1,68,0.18,44,2,68,1,1,1,0.4557,4,0.5637
1,1,1,68,0.25,45,1,68,1,1,1,0.3292,4,0.3566
1,1,1,68,0.25,46,1,68,2,2,1,1.3274,2,0.5154
1,1,1,68,0.23,47,1,68,1,1,1,0.4564,3,0.2602
1,1,1,68,0.18,48,2,68,1,2,0,0.7646,3,0.5741
1,1,1,68,0.2,49,2,68,1,2,0,0.6816,3,0.4452
1,1,1,68,0.22,50,2,68,2,1,0,1.182,3,0.34
1,1,1,68,0.24,51,2,68,2,2,1,1.2173,4,0.2847
1,1,1,68,0.24,52,2,68,2,2,1,0.7739,4,0.2153
1,1,1,68,0.23,53,1,68,1,1,1,1.0877,1,0.5258
1,1,1,68,0.22,54,2,68,1,1,1,0.5925,3,0.2615
1,1,1,68,0.22,55,2,68,2,2,1,0.9686,4,0.2071
1,1,1,68,0.21,56,1,68,2,2,1,0.8276,4,0.1562
1,1,1,68,0.21,57,1,68,1,1,1,0.7503,2,0.2617
1,1,1,68,0.2,58,2,68,2,2,1,0.9836,3,0.151
1,1,1,68,0.2,59,2,68,1,1,1,0.2999,4,0.218
1,1,1,68,0.21,60,1,68,1,1,1,0.2723,2,0.2223
1,1,1,68,0.21,61,1,68,1,1,1,0.5425,4,0.2103
1,1,1,68,0.21,62,1,68,1,1,1,0.3539,3,0.2296
1,1,1,68,0.18,63,2,68,2,2,1,1.3887,1,0.1189
1,1,1,68,0.18,64,2,68,1,1,1,0.9387,3,0.0915
1,1,1,68,0.18,65,2,68,1,1,1,1.0342,1,0.0975
1,1,1,68,0.18,66,2,68,1,1,1,0.5828,3,0.1459
1,1,1,68,0.18,67,2,68,1,1,1,0.5397,3,0.1345
1,1,1,68,0.18,68,2,68,2,2,1,0.8259,2,0.251
1,1,1,68,0.18,69,2,68,2,2,1,0.6081,4,0.1946
1,1,1,68,0.18,70,2,68,1,2,0,1.4171,2,0.1169
1,1,1,68,0.21,71,1,68,2,2,1,0.5256,3,0.1043
1,1,1,68,0.21,72,1,68,1,1,1,1.3897,1,0.119
1,1,1,68,0.21,73,1,68,1,1,1,0.4755,3,0.1176
1,1,1,68,0.21,74,1,68,1,1,1,0.3988,3,0.1777
1,1,1,68,0.21,75,1,68,2,2,1,0.4816,4,0.2056
1,1,1,68,0.18,76,2,68,1,1,1,0.5837,3,0.1142
1,1,1,68,0.18,77,2,68,2,2,1,0.7743,3,0.1942
1,1,1,68,0.21,78,1,68,2,2,1,0.5618,3,0.1646
1,1,1,68,0.18,79,2,68,1,2,0,1.1176,2,0.3066
1,1,1,68,0.21,80,1,68,2,2,1,0.6547,3,0.1601
1,1,1,68,0.18,81,2,68,1,1,1,0.227,4,0.9024
1,1,1,68,0.18,82,2,68,1,1,1,0.3509,4,0.1148
1,1,1,68,0.18,83,2,68,2,2,1,0.3266,4,0.1233
1,1,1,68,0.18,84,2,68,1,1,1,0.7653,3,0.1837
1,1,1,68,0.21,85,1,68,2,2,1,0.6736,3,0.5799
1,1,1,68,0.21,86,1,68,1,1,1,0.2974,3,0.1918
1,1,1,68,0.21,87,1,68,2,2,1,0.4323,4,0.3946
1,1,1,68,0.18,88,2,68,1,1,1,0.601,3,0.2367
1,1,1,68,0.18,89,2,68,2,2,1,0.546,4,0.1893
1,1,1,68,0.21,90,1,68,1,2,0,0.4944,4,0.113
1,1,1,68,0.18,91,2,68,1,2,0,0.6966,4,0.1831
1,1,1,68,0.21,92,1,68,1,2,0,0.4858,3,0.5144
1,1,1,68,0.18,93,2,68,1,2,0,0.847,2,0.2656
1,1,1,68,0.18,94,2,68,2,2,1,0.6436,3,0.238
1,1,1,68,0.21,95,1,68,2,2,1,0.5072,3,0.2313
1,1,1,68,0.21,96,1,68,1,1,1,1.0958,1,0.0948
1,1,1,68,0.21,97,1,68,1,1,1,0.321,2,0.2702
1,1,1,68,0.21,98,1,68,2,2,1,0.5401,3,0.1756
1,1,1,68,0.21,99,1,68,2,2,1,0.5926,3,0.1244
1,1,1,68,0.18,100,2,68,2,2,1,0.757,2,0.2543
1,1,1,68,0.18,101,2,68,2,2,1,0.4459,3,0.2033
1,1,1,68,0.18,102,2,68,2,2,1,0.4762,3,0.1779
1,1,1,68,0.18,103,2,68,1,1,1,0.8607,1,0.1341
1,1,1,68,0.18,104,2,68,2,2,1,0.3974,3,0.1628
1,1,1,68,0.21,105,1,68,1,1,1,0.5843,1,0.2129
1,1,1,68,0.21,106,1,68,1,1,1,0.3052,2,0.168
1,1,1,68,0.21,107,1,68,1,1,1,0.5836,2,0.116
1,1,1,68,0.18,108,2,68,2,2,1,0.446,3,0.0817
